	"P8774"	"P8775"	"P9206"	"P9207"	"P9208"
"CDbd65"	98.05	97.66	88.57	91.88	87.25
"CDbd2"	18.69	19.39	12.11	14.24	12.77
"CDbd3"	23.55	22.76	25.89	24.71	26.73
"CDbd193"	35.67	35.27	43.94	43.26	41.11
"CDbd67"	36.27	40.91	10.21	11.87	10.9
"CDbd69"	57.87	66.19	22.74	17.94	18.87
"CDbd6"	77.72	79.71	69.97	67.98	68.43
"CDbd195"	42.52	49.91	30.23	24.68	24.64
"CDbd196"	97.71	96.17	98.66	98.16	98.3
"CDbd7"	39.77	39.51	48.38	48.54	48.16
"CDbd70"	69.79	72.22	69.58	71.08	70.19
"CDbd8"	55.17	58.31	43.28	43.82	41.51
"CDbd9"	24.71	29.35	21.72	19.65	21.23
"CDbd10"	13.1	16.1	18.48	17.75	17.95
"CDbd140"	99.89	99.95	99.43	99.38	99.36
"CDbd78"	84.79	90.2	58.04	54.64	55.46
"CDbd204"	15.27	15.11	25.85	21	23.99
"CDbd79"	63.32	47.16	26.03	27.23	22.52
"CDbd205"	90.11	90.09	97.38	92.64	95.56
"CDbd80"	48.8	37.1	29.39	26	25.28
"CDbd206"	14.17	10.78	18.63	17.99	17.67
"CDbd81"	85.96	83.33	71.26	69.69	69.73
"CDbd82"	34.45	26.84	24.96	26.62	30.11
"CDbd19"	99.69	97.69	93.15	91.16	93.07
"CDbd83"	49.92	42.16	29.56	26.63	25.44
"CDbd210"	88.71	88.82	81.69	82.61	82.05
"CDbd84"	47.95	46.49	41.58	42.12	29.03
"CDbd85"	95.99	97.91	59.48	78.05	66.61
"CDbd23"	18.52	16.73	27.52	27.28	27.22
"CDbd213"	12.91	11.1	12.97	13.32	13.2
"CDbd27"	57.65	54.44	41.42	24.18	34.58
"CDbd218"	69.08	67.06	68.36	66.78	67.89
"CDbd219"	49.45	51.73	64.36	60.03	64.26
"CDbd30"	68.76	70.95	54.17	59.36	58.88
"CDbd93"	38.33	42.07	36.91	32.11	34.02
"CDbd31"	24.14	21.09	25.58	25	25.13
"CDbd94"	25.07	22.01	51.05	48.08	46.8
"CDbd220"	48.67	48.01	74.53	56.08	65.78
"CDbd221"	13.69	12.12	20.04	17.41	15.65
"CDbd95"	96.53	95.13	91.25	88.21	90.07
"CDbd32"	43.92	36.57	43.64	38.53	33.35
"CDbd97"	13.82	11.93	11.02	10.15	11.63
"CDbd36"	58.89	59.56	43.16	42.57	42.99
"CDbd225"	20.68	17.5	48.72	41.54	44.83
"CDbd101"	33.5	60.89	18.55	18.37	15.09
"CDbd102"	32.25	23.7	18.31	20.1	17.75
"CDbd228"	99.82	99.76	97.97	97.1	97.09
"CDbd39"	89.94	89.52	91.95	90.62	92.15
"CDbd40"	67.42	71.32	52.02	49.93	49.08
"CDbd229"	50.82	48.92	70.08	69.88	69.02
"CDbd103"	40.33	55.92	42.97	26.66	17.96
"CDbd230"	51.57	49.95	89.5	73.52	78.52
"CDbd41"	99.89	99.89	99.71	99.67	99.68
"CDbd104"	89.14	91.92	80.89	70.07	40.1
"CDbd231"	81.59	80.72	74.69	73.46	72.45
"CDbd42"	99.95	99.8	99.88	99.08	99.74
"CDbd105"	65.63	62.67	56	54.87	55.58
"CDbd43"	97.26	97.58	97.23	82.33	71.89
"CDbd233"	48.78	50.7	84.21	73.21	76.46
"CDbd108"	42.69	29.9	23.81	20.73	21.8
"CDbd45"	68.37	67.66	48.16	50.53	49.53
"CDbd235"	48.44	48.95	49.95	46.83	47.93
"CDbd46"	99.94	99.97	93.31	95.22	51.07
"CDbd48"	12.41	12.33	12.45	11.82	14.09
"CDbd111"	99.86	99.47	96.69	96.1	96.26
"CDbd49"	90.41	89.65	83.71	84.92	84.15
"CDbd50"	99.71	99.75	99.71	99.57	99.5
"CDbd113"	46.53	47.93	39.64	41.24	36.92
"CDbd51"	71.23	68.02	61.57	48.8	57.02
"CDbd114"	90.4	91.1	87.21	88.29	85.9
"CDbd240"	97.32	96.3	94.74	93.44	93.43
"CDbd115"	99.79	99.91	99.14	98.38	98.83
"CDbd116"	39.83	34.97	23.62	24.41	22.01
"CDbd243"	10.54	10.72	40.53	22.07	26.13
"CDbd117"	87.9	87.15	86.36	86.98	85.99
"CDbd119"	23.33	22.11	30.44	30.94	30.9
"CDbd56"	35.94	23.7	14.79	19.29	17.77
"CDbd246"	37.02	34.59	50.2	39.06	43
"CDbd121"	78.65	78.07	72.78	74.9	71.14
"CDbd124"	48.29	48.56	51.47	22.67	10.58
"CDbd251"	49.91	54.26	22.58	35.89	35.04
"CDbd62"	97.58	97.44	75.04	77.76	78.08
"CDbd252"	16.47	17.82	16.76	16.84	17.69
